"20.apr.91";"Anarkistar á Íslandi";0;0;0;0;0;0;0;0
"8. apríl 1995";"Alþýðuflokkur - Jafnaðarmannaflokkur Íslands";7498;6603;1010;752;318;1211;577;877
"8. apríl 1995";"Framsóknarflokkur";9743;8810;2943;1086;2454;6015;3668;3766
"8. apríl 1995";"Sjálfstæðisflokkur";27736;16431;2602;1787;1951;4606;1760;4310
"8. apríl 1995";"Verkamannaflokkur Íslands";0;0;0;0;0;0;0;0
"8. apríl 1995";"Frjálslyndir";0;0;0;0;0;0;0;0
"8. apríl 1995";"Alþýðubandalag";0;0;0;0;0;0;0;0
"8. apríl 1995";"Bandalag jafnaðarmanna";0;0;0;0;0;0;0;0
"8. apríl 1995";"Samtök um kvennalista";4594;1761;324;312;204;351;191;294
"8. apríl 1995";"Heimastjórnarsamtökin";0;0;0;0;0;0;0;0
"8. apríl 1995";"Samtök öfgasinnaðra jafnaðarmanna";0;0;0;0;0;0;0;0
"8. apríl 1995";"Grænt framboð";0;0;0;0;0;0;0;0
"8. apríl 1995";"Þjóðarflokkur - Flokkur mannsins";0;0;0;0;0;0;0;0
"8. apríl 1995";"Þjóðvarnarflokkur";0;0;0;0;0;0;0;0
"8. apríl 1995";"Utan flokka";0;0;0;0;0;0;0;0
"8. apríl 1995";"Utan flokka - Alþýðubandalag";0;0;0;0;0;0;0;0
"8. apríl 1995";"Óháði lýðræðisflokkurinn";0;0;0;0;0;0;0;0
"8. apríl 1995";"Samtök frjálsl. og vinstri manna";0;0;0;0;0;0;0;0
"8. apríl 1995";"Framboðsflokkur";0;0;0;0;0;0;0;0
"8. apríl 1995";"Borgaraflokkur";0;0;0;0;0;0;0;0
"8. apríl 1995";"Samtök um jafnrétti og félagshyggju";0;0;0;0;0;0;0;0
"8. apríl 1995";"Þjóðarflokkur";0;0;0;0;0;0;0;0
"8. apríl 1995";"Alþýðubandalag og óháðir";9440;5330;1148;651;987;2741;1257;2043
"8. apríl 1995";"Þjóðvaki, hreyfing fólksins";5777;2545;568;184;429;1414;365;524
"8. apríl 1995";"Kristileg stjórnmálahreyfing";202;114;0;0;0;0;0;0
"8. apríl 1995";"Vestfjarðalistinn, samtök stuðningsmanna Péturs Bjarnasonar";0;0;0;717;0;0;0;0
"8. apríl 1995";"Náttúrulagaflokkur Íslands";603;276;28;0;0;0;0;50
"8. apríl 1995";"Suðurlandslistinn, listi utan flokka á Suðurlandi";0;0;0;0;0;0;0;1105
"8. apríl 1995";"Frjálslyndi flokkurinn";0;0;0;0;0;0;0;0
"8. apríl 1995";"Húmanistaflokkur";0;0;0;0;0;0;0;0
"8. apríl 1995";"Kristilegi lýðræðisflokkurinn";0;0;0;0;0;0;0;0
"8. apríl 1995";"Samfylkingin";0;0;0;0;0;0;0;0
"8. apríl 1995";"Vinstrihreyfingin - grænt framboð";0;0;0;0;0;0;0;0
"8. apríl 1995";"Anarkistar á Íslandi";0;0;0;0;0;0;0;0
"8. maí 1999";"Alþýðuflokkur - Jafnaðarmannaflokkur Íslands";0;0;0;0;0;0;0;0
"8. maí 1999";"Framsóknarflokkur";6832;7190;2411;1124;1808;4610;2771;3669
"8. maí 1999";"Sjálfstæðisflokkur";30168;20033;2826;1436;1904;4717;1901;4528
"8. maí 1999";"Verkamannaflokkur Íslands";0;0;0;0;0;0;0;0
"8. maí 1999";"Frjálslyndir";0;0;0;0;0;0;0;0
"8. maí 1999";"Alþýðubandalag";0;0;0;0;0;0;0;0
"8. maí 1999";"Bandalag jafnaðarmanna";0;0;0;0;0;0;0;0
"8. maí 1999";"Samtök um kvennalista";0;0;0;0;0;0;0;0
"8. maí 1999";"Heimastjórnarsamtökin";0;0;0;0;0;0;0;0
"8. maí 1999";"Samtök öfgasinnaðra jafnaðarmanna";0;0;0;0;0;0;0;0
"8. maí 1999";"Grænt framboð";0;0;0;0;0;0;0;0
"8. maí 1999";"Þjóðarflokkur - Flokkur mannsins";0;0;0;0;0;0;0;0
"8. maí 1999";"Þjóðvarnarflokkur";0;0;0;0;0;0;0;0
"8. maí 1999";"Utan flokka";0;0;0;0;0;0;0;0
"8. maí 1999";"Utan flokka - Alþýðubandalag";0;0;0;0;0;0;0;0
"8. maí 1999";"Óháði lýðræðisflokkurinn";0;0;0;0;0;0;0;0
"8. maí 1999";"Samtök frjálsl. og vinstri manna";0;0;0;0;0;0;0;0
"8. maí 1999";"Framboðsflokkur";0;0;0;0;0;0;0;0
"8. maí 1999";"Borgaraflokkur";0;0;0;0;0;0;0;0
"8. maí 1999";"Samtök um jafnrétti og félagshyggju";0;0;0;0;0;0;0;0
"8. maí 1999";"Þjóðarflokkur";0;0;0;0;0;0;0;0
"8. maí 1999";"Alþýðubandalag og óháðir";0;0;0;0;0;0;0;0
"8. maí 1999";"Þjóðvaki, hreyfing fólksins";0;0;0;0;0;0;0;0
"8. maí 1999";"Kristileg stjórnmálahreyfing";0;0;0;0;0;0;0;0
"8. maí 1999";"Vestfjarðalistinn, samtök stuðningsmanna Péturs Bjarnasonar";0;0;0;0;0;0;0;0
"8. maí 1999";"Náttúrulagaflokkur Íslands";0;0;0;0;0;0;0;0
"8. maí 1999";"Suðurlandslistinn, listi utan flokka á Suðurlandi";0;0;0;0;0;0;0;0
"8. maí 1999";"Frjálslyndi flokkurinn";2756;2076;169;859;195;297;209;358
"8. maí 1999";"Húmanistaflokkur";414;165;32;18;13;43;14;43
"8. maí 1999";"Kristilegi lýðræðisflokkurinn";268;173;0;0;0;0;0;0
"8. maí 1999";"Samfylkingin";19153;12594;2212;1144;1481;2652;1530;3612
"8. maí 1999";"Vinstrihreyfingin - grænt framboð";6198;2629;823;268;561;3483;791;362
"8. maí 1999";"Anarkistar á Íslandi";204;0;0;0;0;0;0;0
