Iceland 21st c. avg,cons,adj,A,B,C,D,E,F,G,H
Norðvestur,7,1,3800,3000,4300,2700,1200,700,1000,500
Norðaustur,9,1,4700,3800,5600,4700,1600,1000,1300,800
Suður,9,1,7000,6000,6700,3100,2300,1300,2300,1100
Suðvestur,11,2,16500,12400,8200,6200,4700,4500,2900,3200
Reykjavík suður,9,2,9200,7500,3900,4900,3600,2600,1900,2000
Reykjavík norður,9,2,8400,8000,3800,5100,3900,2400,1600,1900
